Title,Body,Link,Date,Type,Combined_Text,PText,PTitle
us aims halve russias energy revenues 2030 says official,,https://www.ft.com/content/277c1f9c-3f0f-4562-b0f0-80b390012087,"Fri, 01 Dec 2023 05:00:17 GMT",finance,us aims halve russias energy revenues 2030 says official ,"['us', 'aims', 'halve', 'russias', 'energy', 'revenues', '2030', 'says', 'official']","['us', 'aims', 'halve', 'russias', 'energy', 'revenues', '2030', 'says', 'official']"
yesterdays company heroes move recovery mode,,https://www.ft.com/content/4995116d-2c31-4dec-9481-3d1408bbb4d9,"Fri, 01 Dec 2023 05:00:17 GMT",finance,yesterdays company heroes move recovery mode ,"['yesterdays', 'company', 'heroes', 'move', 'recovery', 'mode']","['yesterdays', 'company', 'heroes', 'move', 'recovery', 'mode']"
brookfield raises 28bn largestever infrastructure fund,,https://www.ft.com/content/766b702e-acdf-4e71-ab9e-664e30611e83,"Fri, 01 Dec 2023 05:00:17 GMT",finance,brookfield raises 28bn largestever infrastructure fund ,"['brookfield', 'raises', '28bn', 'largestever', 'infrastructure', 'fund']","['brookfield', 'raises', '28bn', 'largestever', 'infrastructure', 'fund']"
falling corn prices heap pressure farmers,,https://www.ft.com/content/29b0fefa-4629-4dd2-8b04-2be4202b3df8,"Fri, 01 Dec 2023 05:00:17 GMT",finance,falling corn prices heap pressure farmers ,"['falling', 'corn', 'prices', 'heap', 'pressure', 'farmers']","['falling', 'corn', 'prices', 'heap', 'pressure', 'farmers']"
blackrock caps fee 10bn highyield corporate bond etf,,https://www.ft.com/content/2f699b94-d433-4176-b59d-142b2b57dabd,"Fri, 01 Dec 2023 05:00:16 GMT",finance,blackrock caps fee 10bn highyield corporate bond etf ,"['blackrock', 'caps', 'fee', '10bn', 'highyield', 'corporate', 'bond', 'etf']","['blackrock', 'caps', 'fee', '10bn', 'highyield', 'corporate', 'bond', 'etf']"
markets stellar november,,https://www.ft.com/content/7316cfcd-782b-4b49-b0f8-2d6dcb3e3977,"Fri, 01 Dec 2023 05:00:07 GMT",finance,markets stellar november ,"['markets', 'stellar', 'november']","['markets', 'stellar', 'november']"
jabs panera brands files confidential ipo paperwork,,https://www.ft.com/content/77dceb43-e5f7-40ae-bb33-f15ea1b58386,"Fri, 01 Dec 2023 00:43:21 GMT",finance,jabs panera brands files confidential ipo paperwork ,"['jabs', 'panera', 'brands', 'files', 'confidential', 'ipo', 'paperwork']","['jabs', 'panera', 'brands', 'files', 'confidential', 'ipo', 'paperwork']"
global record best month three years rate cut hopes,,https://www.ft.com/content/a061bd16-6d8a-4c65-ae23-86af9d6603f6,"Thu, 30 Nov 2023 21:35:52 GMT",finance,global record best month three years rate cut hopes ,"['global', 'record', 'best', 'month', 'three', 'years', 'rate', 'cut', 'hopes']","['global', 'record', 'best', 'month', 'three', 'years', 'rate', 'cut', 'hopes']"
opec production cuts leave oil market sceptical,,https://www.ft.com/content/b809994d-6a1b-40e0-b75c-a659c46ffedd,"Thu, 30 Nov 2023 19:57:30 GMT",finance,opec production cuts leave oil market sceptical ,"['opec', 'production', 'cuts', 'leave', 'oil', 'market', 'sceptical']","['opec', 'production', 'cuts', 'leave', 'oil', 'market', 'sceptical']"
exgoldman analyst lawyer brother go trial insider dealing,,https://www.ft.com/content/52a5556c-9107-4446-a48a-7afea11258ca,"Thu, 30 Nov 2023 18:47:16 GMT",finance,exgoldman analyst lawyer brother go trial insider dealing ,"['exgoldman', 'analyst', 'lawyer', 'brother', 'go', 'trial', 'insider', 'dealing']","['exgoldman', 'analyst', 'lawyer', 'brother', 'go', 'trial', 'insider', 'dealing']"
