Title,Body,Link,Date,Type,Combined_Text,PText,PTitle
best keurig deals big savings kcafe kmini kelite,,https://www.cnet.com/deals/best-keurig-deals/#ftag=CAD590a51e,"Fri, 01 Dec 2023 17:30:10 +0000",news,best keurig deals big savings kcafe kmini kelite ,"['best', 'keurig', 'deals', 'big', 'savings', 'kcafe', 'kmini', 'kelite']","['best', 'keurig', 'deals', 'big', 'savings', 'kcafe', 'kmini', 'kelite']"
get kids music spotify wrapped playlist,,https://www.cnet.com/tech/services-and-software/how-to-get-your-kids-music-out-of-your-spotify-wrapped-playlist/#ftag=CAD590a51e,"Fri, 01 Dec 2023 17:17:18 +0000",news,get kids music spotify wrapped playlist ,"['get', 'kids', 'music', 'spotify', 'wrapped', 'playlist']","['get', 'kids', 'music', 'spotify', 'wrapped', 'playlist']"
best gifts available amazon 26 gifts 5 250,,https://www.cnet.com/tech/best-gifts-available-from-amazon/#ftag=CAD590a51e,"Fri, 01 Dec 2023 17:05:00 +0000",news,best gifts available amazon 26 gifts 5 250 ,"['best', 'gifts', 'available', 'amazon', '26', 'gifts', '5', '250']","['best', 'gifts', 'available', 'amazon', '26', 'gifts', '5', '250']"
best playstation deals save 120 consoles games accessories,,https://www.cnet.com/deals/best-playstation-deals/#ftag=CAD590a51e,"Fri, 01 Dec 2023 17:02:27 +0000",news,best playstation deals save 120 consoles games accessories ,"['best', 'playstation', 'deals', 'save', '120', 'consoles', 'games', 'accessories']","['best', 'playstation', 'deals', 'save', '120', 'consoles', 'games', 'accessories']"
ios 1712 download update,,https://www.cnet.com/tech/services-and-software/ios-17-1-2-why-you-should-download-this-update-now/#ftag=CAD590a51e,"Fri, 01 Dec 2023 16:49:30 +0000",news,ios 1712 download update ,"['ios', '1712', 'download', 'update']","['ios', '1712', 'download', 'update']"
best tv deals save 1000 lg samsung fire tv,,https://www.cnet.com/deals/best-tv-deals/#ftag=CAD590a51e,"Fri, 01 Dec 2023 16:31:45 +0000",news,best tv deals save 1000 lg samsung fire tv ,"['best', 'tv', 'deals', 'save', '1000', 'lg', 'samsung', 'fire', 'tv']","['best', 'tv', 'deals', 'save', '1000', 'lg', 'samsung', 'fire', 'tv']"
best weighted blankets 2023,,https://www.cnet.com/health/sleep/best-weighted-blanket/#ftag=CAD590a51e,"Fri, 01 Dec 2023 16:30:00 +0000",news,best weighted blankets 2023 ,"['best', 'weighted', 'blankets', '2023']","['best', 'weighted', 'blankets', '2023']"
heaps achingly stylish caddis eyewear 78 right,cyber week nearly wrap still score seriously chic reading glasses bluelight blockers sunglasses cheap caddis inventoryclearing sale,https://www.cnet.com/deals/caddis-eyewear-sale-cyber-week/#ftag=CAD590a51e,"Fri, 01 Dec 2023 16:28:00 +0000",news,heaps achingly stylish caddis eyewear 78 right cyber week nearly wrap still score seriously chic reading glasses bluelight blockers sunglasses cheap caddis inventoryclearing sale,"['heaps', 'achingly', 'stylish', 'caddis', 'eyewear', '78', 'right', 'cyber', 'week', 'nearly', 'wrap', 'still', 'score', 'seriously', 'chic', 'reading', 'glasses', 'bluelight', 'blockers', 'sunglasses', 'cheap', 'caddis', 'inventoryclearing', 'sale']","['heaps', 'achingly', 'stylish', 'caddis', 'eyewear', '78', 'right']"
best soft mattress 2023,prefer sleep cuddled cloud weve tested top soft mattresses market extra plush pillow top mattresses luxurious proprietary foam best soft mattresses,https://www.cnet.com/health/sleep/best-soft-mattresses/#ftag=CAD590a51e,"Fri, 01 Dec 2023 16:00:00 +0000",news,best soft mattress 2023 prefer sleep cuddled cloud weve tested top soft mattresses market extra plush pillow top mattresses luxurious proprietary foam best soft mattresses,"['best', 'soft', 'mattress', '2023', 'prefer', 'sleep', 'cuddled', 'cloud', 'weve', 'tested', 'top', 'soft', 'mattresses', 'market', 'extra', 'plush', 'pillow', 'top', 'mattresses', 'luxurious', 'proprietary', 'foam', 'best', 'soft', 'mattresses']","['best', 'soft', 'mattress', '2023']"
best vitamins supplements healthy eyes,could missing essential eye vitamins supplements fill nutritional gaps boost eye health years come best vitamins supplements,https://www.cnet.com/health/personal-care/best-vitamins-and-supplements-for-eye-health/#ftag=CAD590a51e,"Fri, 01 Dec 2023 15:00:07 +0000",news,best vitamins supplements healthy eyes could missing essential eye vitamins supplements fill nutritional gaps boost eye health years come best vitamins supplements,"['best', 'vitamins', 'supplements', 'healthy', 'eyes', 'could', 'missing', 'essential', 'eye', 'vitamins', 'supplements', 'fill', 'nutritional', 'gaps', 'boost', 'eye', 'health', 'years', 'come', 'best', 'vitamins', 'supplements']","['best', 'vitamins', 'supplements', 'healthy', 'eyes']"
best mattress hip pain 2023,,https://www.cnet.com/health/sleep/best-mattress-for-hip-pain/#ftag=CAD590a51e,"Fri, 01 Dec 2023 15:00:00 +0000",news,best mattress hip pain 2023 ,"['best', 'mattress', 'hip', 'pain', '2023']","['best', 'mattress', 'hip', 'pain', '2023']"
